speaker_id,gt_len,wer,ground_truth_path,generated_path,gt_basename,gt_stem,ground_truth_text
p288,68,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_345_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_345_mic1_cloned.wav,p288_345_mic1.wav,p288_345_mic1,A formal announcement is expected this morning at a news conference.
p288,64,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_192_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_192_mic1_cloned.wav,p288_192_mic1.wav,p288_192_mic1,It is not satisfied with the standard of fire safety provisions.
p288,63,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_269_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_269_mic1_cloned.wav,p288_269_mic1.wav,p288_269_mic1,"It's great, because it takes a lot of pressure off the players."
p288,63,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_294_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_294_mic1_cloned.wav,p288_294_mic1.wav,p288_294_mic1,The move was welcomed by the Roman Catholic Church in Scotland.
p288,61,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_032_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_032_mic1_cloned.wav,p288_032_mic1.wav,p288_032_mic1,We must provide a long-term solution to tackle this attitude.
p288,60,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_304_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_304_mic1_cloned.wav,p288_304_mic1.wav,p288_304_mic1,Violence and threatening behaviour has no place in a school.
p288,59,0.0909090909090909,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_215_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_215_mic1_cloned.wav,p288_215_mic1.wav,p288_215_mic1,He said that healthy eating was high on the council agenda.
p288,55,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_351_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_351_mic1_cloned.wav,p288_351_mic1.wav,p288_351_mic1,A report is the first step in a criminal case in India.
p288,55,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_188_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_188_mic1_cloned.wav,p288_188_mic1.wav,p288_188_mic1,The spokeswoman said the flat in London was very small.
p288,55,0.1111111111111111,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p288/p288_259_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p288/p288_259_mic1_cloned.wav,p288_259_mic1.wav,p288_259_mic1,"George W Bush, the US president, condemned the attacks."
p316,122,0.05,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_019_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_019_mic1_cloned.wav,p316_019_mic1.wav,p316_019_mic1,"Since then physicists have found that it is not reflection, but the refraction by the raindrops which causes the rainbows."
p316,50,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_256_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_256_mic1_cloned.wav,p316_256_mic1.wav,p316_256_mic1,"If they don't, they might well decide not to play."
p316,48,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_225_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_225_mic1_cloned.wav,p316_225_mic1.wav,p316_225_mic1,So what could be better than becoming a captain?
p316,48,0.1,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_025_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_025_mic1_cloned.wav,p316_025_mic1.wav,p316_025_mic1,"We have to pull together, or we will hang apart."
p316,47,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_245_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_245_mic1_cloned.wav,p316_245_mic1.wav,p316_245_mic1,"However, he said the money had not been wasted."
p316,46,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_250_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_250_mic1_cloned.wav,p316_250_mic1.wav,p316_250_mic1,"At the end of the day, two men have been shot."
p316,45,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_342_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_342_mic1_cloned.wav,p316_342_mic1.wav,p316_342_mic1,Only New Zealand has seen a similar increase.
p316,45,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_146_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_146_mic1_cloned.wav,p316_146_mic1.wav,p316_146_mic1,"In the current outbreak, the reverse is true."
p316,45,0.125,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_303_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_303_mic1_cloned.wav,p316_303_mic1.wav,p316_303_mic1,Sometimes you stand on them as they collapse.
p316,44,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p316/p316_196_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p316/p316_196_mic1_cloned.wav,p316_196_mic1.wav,p316_196_mic1,The Prime Minister was informed on Thursday.
p363,158,0.0357142857142857,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_021_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_021_mic1_cloned.wav,p363_021_mic1.wav,p363_021_mic1,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."
p363,90,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_018_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_018_mic1_cloned.wav,p363_018_mic1.wav,p363_018_mic1,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
p363,75,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_012_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_012_mic1_cloned.wav,p363_012_mic1.wav,p363_012_mic1,Throughout the centuries people have explained the rainbow in various ways.
p363,46,0.1,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_155_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_155_mic1_cloned.wav,p363_155_mic1.wav,p363_155_mic1,"If true, it will be the first sign of dissent."
p363,44,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_113_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_113_mic1_cloned.wav,p363_113_mic1.wav,p363_113_mic1,That was certainly the case for the parties.
p363,44,0.125,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_362_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_362_mic1_cloned.wav,p363_362_mic1.wav,p363_362_mic1,The work with Alison was a great experience.
p363,43,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_184_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_184_mic1_cloned.wav,p363_184_mic1.wav,p363_184_mic1,I feel really confident in that department.
p363,43,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_319_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_319_mic1_cloned.wav,p363_319_mic1.wav,p363_319_mic1,That would be the constructive way forward.
p363,42,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_187_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_187_mic1_cloned.wav,p363_187_mic1.wav,p363_187_mic1,The prime minister will make the decision.
p363,41,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p363/p363_367_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p363/p363_367_mic1_cloned.wav,p363_367_mic1.wav,p363_367_mic1,She had not suffered any physical injury.
